X,Y,OBJECTID,SERVICECODE,SERVICECODEDESCRIPTION,SERVICETYPECODEDESCRIPTION,ORGANIZATIONACRONYM,SERVICECALLCOUNT,ADDDATE,RESOLUTIONDATE,SERVICEDUEDATE,SERVICEORDERDATE,INSPECTIONFLAG,INSPECTIONDATE,INSPECTORNAME,SERVICEORDERSTATUS,STATUS_CODE,SERVICEREQUESTID,PRIORITY,STREETADDRESS,XCOORD,YCOORD,LATITUDE,LONGITUDE,CITY,STATE,ZIPCODE,MARADDRESSREPOSITORYID,WARD
-77.020615528063757,38.929999119775964,34,S0011,Alley Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-11-02T06:38:44.000Z,2017-11-11T07:13:00.000Z,2017-12-18T17:00:00.000Z,2017-11-02T06:38:44.000Z,N,,,CLOSED,CLOSED,17-00618487,STANDARD,518 KENYON STREET NW,398212.68,140234.79,38.92999166,-77.02061324,WASHINGTON,DC,20010,229261,1
-77.007680928612743,38.954075971434989,35,S0391,Street Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-11-02T08:17:02.000Z,,2017-12-13T18:00:00.000Z,2017-11-02T08:17:02.000Z,N,,,OPEN,OPEN,17-00618530,STANDARD,5320 ROCK CREEK CHURCH ROAD NE,399334.43,142907.36,38.95406851,-77.00767864,WASHINGTON,DC,20011,288604,5
-77.007680928612743,38.954075971434989,36,S0391,Street Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-11-02T08:17:05.000Z,,2017-12-13T18:00:00.000Z,2017-11-02T08:17:05.000Z,N,,,OPEN,OPEN,17-00618532,STANDARD,5320 ROCK CREEK CHURCH ROAD NE,399334.43,142907.36,38.95406851,-77.00767864,WASHINGTON,DC,20011,288604,5
-76.979255868193491,38.87002152630928,37,S0011,Alley Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-11-02T07:33:59.000Z,2017-11-11T07:48:01.000Z,2017-12-18T17:00:00.000Z,2017-11-02T07:33:59.000Z,N,,,CLOSED,CLOSED,17-00618565,STANDARD,1613 18TH STREET SE,401800.38,133576.8,38.87001408,-76.97925359,WASHINGTON,DC,20020,59772,8
-77.057710861744425,38.911737798559493,38,S0391,Street Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-11-02T09:52:24.000Z,2017-11-14T07:02:56.000Z,2017-12-14T10:52:00.000Z,2017-11-02T09:52:24.000Z,N,,,CLOSED,CLOSED,17-00618995,STANDARD,1633 29TH STREET NW,394994.96,138209.01,38.91173034,-77.05770856,WASHINGTON,DC,20007,273148,2
-77.024077896456276,38.934877266618031,39,S0011,Alley Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-11-02T10:54:45.000Z,,2017-12-19T11:54:00.000Z,2017-11-02T10:54:45.000Z,N,,,OPEN,OPEN,17-00619033,STANDARD,,397912.609999998,140776.380003315,38.9348694723221,-77.0240756032895,,,20010,,1
-77.008763938119614,38.832419487024559,40,S0391,Street Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-11-02T10:22:05.000Z,2017-11-14T08:52:53.000Z,2017-12-14T11:22:00.000Z,2017-11-02T10:22:05.000Z,N,,,CLOSED,CLOSED,17-00619309,STANDARD,3900 MARTIN LUTHER KING JR AVENUE SW,399239.26,129402.54,38.83241205,-77.00876166,WASHINGTON,DC,20032,300857,8
-76.938854494775839,38.896960999899214,41,S0391,Street Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-11-02T10:23:27.000Z,2017-11-08T14:08:01.000Z,2017-12-14T11:23:00.000Z,2017-11-02T10:23:27.000Z,N,,,CLOSED,CLOSED,17-00619313,STANDARD,4406 EDSON PLACE NE,405304.42,136568.86,38.89695354,-76.93885223,WASHINGTON,DC,20019,22252,7
-77.020478124083567,38.931045639306625,42,S0391,Street Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-11-01T14:47:07.000Z,2017-11-14T07:57:55.000Z,2017-12-13T15:47:00.000Z,2017-11-01T14:47:07.000Z,N,,,CLOSED,CLOSED,17-00617088,STANDARD,510 LAMONT STREET NW,398224.62,140350.96,38.93103818,-77.02047583,WASHINGTON,DC,20010,229167,1
-77.006913459904283,38.910943258337049,43,S0011,Alley Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-10-31T12:05:23.000Z,2017-11-11T08:18:00.000Z,2017-12-15T13:05:00.000Z,2017-10-31T12:05:23.000Z,N,,,CLOSED,CLOSED,17-00613650,STANDARD,57 Q STREET NE,399400.59,138119.25,38.9109358,-77.00691117,WASHINGTON,DC,20002,7207,5
